event_id,timestamp,task,event_type,severity,num_records,image_id,annotated_path,elapsed_ms,explanation,action_hint
2da195c5,2026-06-21T15:06:50,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_0,stream,5.35,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
34228c72,2026-06-21T15:06:50,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_15,stream,3.41,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
6883e715,2026-06-21T15:06:51,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_30,stream,2.56,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
f883b437,2026-06-21T15:06:52,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_45,stream,3.1,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
5b08bc6c,2026-06-21T15:06:53,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_60,stream,2.8,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
67fd6370,2026-06-21T15:06:53,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_75,stream,2.39,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
d383030b,2026-06-21T15:06:54,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_90,stream,2.36,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
aad30625,2026-06-21T15:06:55,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_105,stream,2.76,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
f98e227e,2026-06-21T15:06:56,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_120,stream,3.15,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
ae44ae1e,2026-06-21T15:06:56,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_135,stream,3.57,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
76c9a4c1,2026-06-21T15:06:57,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_150,stream,2.63,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
baad3cd9,2026-06-21T15:06:58,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_165,stream,2.56,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
f2838cbd,2026-06-21T15:06:59,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_180,stream,2.65,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
1b3b2f9e,2026-06-21T15:06:59,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_195,stream,2.96,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
0cf150e8,2026-06-21T15:07:00,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_210,stream,2.96,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
53a14466,2026-06-21T15:07:01,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_225,stream,4.56,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
ab5abd94,2026-06-21T15:07:02,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_240,stream,3.08,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
96c45dfa,2026-06-21T15:07:02,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_255,stream,3.9,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
e94a6587,2026-06-21T15:07:03,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_270,stream,2.61,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
def688b4,2026-06-21T15:07:04,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_285,stream,3.21,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
93cf6e95,2026-06-21T15:07:05,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_300,stream,2.89,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
378fca19,2026-06-21T15:07:05,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_315,stream,2.23,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
4a20ac9b,2026-06-21T15:07:06,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_330,stream,2.94,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
2ef2a6bb,2026-06-21T15:07:06,detection,DETECTION_RESULT,WARNING,2,2c1ff1d0,data/captures/2c1ff1d0_detection.jpg,2.39,detection produced 2 record(s).,Display result on dashboard and review quality before using for automatic control.
0d111393,2026-06-21T15:07:07,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_345,stream,2.59,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
abb91345,2026-06-21T15:07:08,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_360,stream,2.52,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
b977ac76,2026-06-21T15:07:09,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_375,stream,3.0,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
77adba8f,2026-06-21T15:07:09,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_390,stream,2.65,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
2fd72720,2026-06-21T15:07:10,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_405,stream,2.17,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
b36e0c1d,2026-06-21T15:07:11,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_420,stream,2.94,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
b7593efa,2026-06-21T15:07:12,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_435,stream,2.89,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
7178a396,2026-06-21T15:07:12,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_450,stream,2.53,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
3c42dfb8,2026-06-21T15:07:13,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_465,stream,2.77,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
1d8bbc12,2026-06-21T15:07:14,detection,DETECTION_RESULT,WARNING,2,68186cfb,data/captures/68186cfb_detection.jpg,2.75,detection produced 2 record(s).,Display result on dashboard and review quality before using for automatic control.
fb2fdb72,2026-06-21T15:07:14,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_480,stream,3.25,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
f9a7719f,2026-06-21T15:07:15,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_495,stream,5.63,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
320a043e,2026-06-21T15:07:15,detection,DETECTION_RESULT,WARNING,5,stream_1782029210157_510,stream,2.22,detection produced 5 record(s).,Display result on dashboard and review quality before using for automatic control.
caeaf93c,2026-06-21T15:07:17,detection,DETECTION_RESULT,WARNING,2,fcddacb1,data/captures/fcddacb1_detection.jpg,2.43,detection produced 2 record(s).,Display result on dashboard and review quality before using for automatic control.
8c5d661d,2026-06-21T15:07:38,ocr,OCR_RESULT,NORMAL,1,acc0edb4,data/captures/sample_acc0edb4_ocr.jpg,0.85,ocr produced 1 record(s).,Display result on dashboard and review quality before using for automatic control.
8b6d2526,2026-06-21T15:07:39,ocr,OCR_RESULT,NORMAL,1,df28fcb4,data/captures/sample_df28fcb4_ocr.jpg,0.95,ocr produced 1 record(s).,Display result on dashboard and review quality before using for automatic control.
949cbc44,2026-06-21T15:07:43,ocr,OCR_RESULT,NORMAL,1,ee591b74,data/captures/ee591b74_ocr.jpg,0.73,ocr produced 1 record(s).,Display result on dashboard and review quality before using for automatic control.
01457a54,2026-06-21T15:07:45,ocr,OCR_RESULT,NORMAL,1,51e8def4,data/captures/51e8def4_ocr.jpg,0.83,ocr produced 1 record(s).,Display result on dashboard and review quality before using for automatic control.
f4a8da4d,2026-06-21T15:07:46,ocr,OCR_RESULT,NORMAL,1,7172b545,data/captures/7172b545_ocr.jpg,0.76,ocr produced 1 record(s).,Display result on dashboard and review quality before using for automatic control.
c4110f75,2026-06-21T15:07:46,ocr,OCR_RESULT,NORMAL,1,28725f4f,data/captures/28725f4f_ocr.jpg,0.83,ocr produced 1 record(s).,Display result on dashboard and review quality before using for automatic control.
565abe68,2026-06-21T15:08:17,ocr,OCR_RESULT,NORMAL,1,555b0a6b,data/captures/555b0a6b_ocr.jpg,0.88,ocr produced 1 record(s).,Display result on dashboard and review quality before using for automatic control.
31fe16b0,2026-06-21T15:08:18,ocr,OCR_RESULT,NORMAL,1,e7abe780,data/captures/e7abe780_ocr.jpg,0.82,ocr produced 1 record(s).,Display result on dashboard and review quality before using for automatic control.
699512be,2026-06-21T15:08:18,ocr,OCR_RESULT,NORMAL,1,d59f2998,data/captures/d59f2998_ocr.jpg,0.71,ocr produced 1 record(s).,Display result on dashboard and review quality before using for automatic control.
