record_id,timestamp,task,image_id,annotated_path,elapsed_ms,record_json
f6cd6fd3,2026-06-21T15:07:38,ocr,acc0edb4,data/captures/sample_acc0edb4_ocr.jpg,0.85,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 160, 480, 230], ""engine"": ""fallback_ocr_demo""}"
5e59b921,2026-06-21T15:07:39,ocr,df28fcb4,data/captures/sample_df28fcb4_ocr.jpg,0.95,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 160, 480, 230], ""engine"": ""fallback_ocr_demo""}"
eb4ed00d,2026-06-21T15:07:43,ocr,ee591b74,data/captures/ee591b74_ocr.jpg,0.73,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 119, 480, 189], ""engine"": ""fallback_ocr_demo""}"
8022f6ac,2026-06-21T15:07:45,ocr,51e8def4,data/captures/51e8def4_ocr.jpg,0.83,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 119, 480, 189], ""engine"": ""fallback_ocr_demo""}"
411f7d2c,2026-06-21T15:07:46,ocr,7172b545,data/captures/7172b545_ocr.jpg,0.76,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 119, 480, 189], ""engine"": ""fallback_ocr_demo""}"
451ca63f,2026-06-21T15:07:46,ocr,28725f4f,data/captures/28725f4f_ocr.jpg,0.83,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 119, 480, 189], ""engine"": ""fallback_ocr_demo""}"
4cb9cc82,2026-06-21T15:08:17,ocr,555b0a6b,data/captures/555b0a6b_ocr.jpg,0.88,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 119, 480, 189], ""engine"": ""fallback_ocr_demo""}"
27013c6b,2026-06-21T15:08:18,ocr,e7abe780,data/captures/e7abe780_ocr.jpg,0.82,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 119, 480, 189], ""engine"": ""fallback_ocr_demo""}"
36587257,2026-06-21T15:08:18,ocr,d59f2998,data/captures/d59f2998_ocr.jpg,0.71,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 119, 480, 189], ""engine"": ""fallback_ocr_demo""}"
803cafa9,2026-06-21T15:08:18,ocr,bc98edc6,data/captures/bc98edc6_ocr.jpg,0.78,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 119, 480, 189], ""engine"": ""fallback_ocr_demo""}"
601cd827,2026-06-21T15:08:20,ocr,316031dc,data/captures/316031dc_ocr.jpg,0.88,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 119, 480, 189], ""engine"": ""fallback_ocr_demo""}"
7ef6f3eb,2026-06-21T15:08:20,ocr,4334a9a9,data/captures/4334a9a9_ocr.jpg,0.8,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 119, 480, 189], ""engine"": ""fallback_ocr_demo""}"
e5188cb9,2026-06-21T15:08:21,ocr,3947a090,data/captures/3947a090_ocr.jpg,0.8,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 119, 480, 189], ""engine"": ""fallback_ocr_demo""}"
f13dde9c,2026-06-21T15:08:24,ocr,0dd7e8c1,data/captures/0dd7e8c1_ocr.jpg,1.1,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 119, 480, 189], ""engine"": ""fallback_ocr_demo""}"
2b014b6b,2026-06-21T15:08:29,ocr,5b667432,data/captures/5b667432_ocr.jpg,0.75,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 119, 480, 189], ""engine"": ""fallback_ocr_demo""}"
cf503959,2026-06-21T15:08:33,ocr,2ee5ba32,data/captures/sample_2ee5ba32_ocr.jpg,0.96,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 160, 480, 230], ""engine"": ""fallback_ocr_demo""}"
943a1771,2026-06-21T15:08:36,ocr,stream_1782029314760_0,stream,1.43,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 120, 480, 190], ""engine"": ""fallback_ocr_demo""}"
ea572702,2026-06-21T15:08:37,ocr,stream_1782029314760_15,stream,0.79,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 160, 480, 230], ""engine"": ""fallback_ocr_demo""}"
191ae4ff,2026-06-21T15:08:38,ocr,stream_1782029314760_30,stream,0.9,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 160, 480, 230], ""engine"": ""fallback_ocr_demo""}"
5bad4840,2026-06-21T15:08:40,ocr,stream_1782029314760_45,stream,1.42,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 160, 480, 230], ""engine"": ""fallback_ocr_demo""}"
35091f14,2026-06-21T15:08:41,ocr,stream_1782029314760_60,stream,1.42,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 160, 480, 230], ""engine"": ""fallback_ocr_demo""}"
e1fb4864,2026-06-21T15:08:42,ocr,stream_1782029314760_75,stream,1.43,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 160, 480, 230], ""engine"": ""fallback_ocr_demo""}"
6d09cbb0,2026-06-21T15:08:43,ocr,stream_1782029314760_90,stream,1.21,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 160, 480, 230], ""engine"": ""fallback_ocr_demo""}"
6243330a,2026-06-21T15:08:45,ocr,stream_1782029314760_105,stream,1.13,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 160, 480, 230], ""engine"": ""fallback_ocr_demo""}"
020be4d9,2026-06-21T15:08:46,ocr,stream_1782029314760_120,stream,1.22,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 160, 480, 230], ""engine"": ""fallback_ocr_demo""}"
5b25bed3,2026-06-21T15:08:47,ocr,stream_1782029314760_135,stream,0.8,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 160, 480, 230], ""engine"": ""fallback_ocr_demo""}"
8af9005b,2026-06-21T15:08:48,ocr,stream_1782029314760_150,stream,0.89,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 160, 480, 230], ""engine"": ""fallback_ocr_demo""}"
150388d9,2026-06-21T15:08:50,ocr,stream_1782029314760_165,stream,0.79,"{""task"": ""ocr"", ""text"": ""AIOT LAB 7 DEMO"", ""confidence"": 0.5, ""bbox"": [160, 160, 480, 230], ""engine"": ""fallback_ocr_demo""}"
